Date,GBP/USD,EUR/USD,USD/JPY,USD/CHF,USD/CNY,USD/CAD,USD/MXN
2020-05-18,1.3201,1.2805,106.95,0.9016,6.8119,1.2229,21.9550
2020-05-19,1.3211,1.2815,116.95,0.9116,6.8119,1.2029,20.9550
2020-05-20,1.3001,1.1815,105.94,0.9106,6.9109,1.3209,21.9660
2020-05-21,1.3001,1.1815,105.94,0.9106,6.9109,1.3209,21.9660
2020-05-22,1.3121,1.1804,105.90,0.9006,6.9019,1.3227,21.9630
2020-05-26,1.3001,1.1815,105.94,0.9106,6.9109,1.3209,21.9660
2020-05-27,1.3101,1.1805,105.95,0.9116,6.9119,1.3229,21.9650
2020-05-28,1.3201,1.2805,106.95,0.9016,6.8119,1.2229,21.9550
2020-05-29,1.3211,1.2815,116.95,0.9116,6.8119,1.2029,20.9550
2020-06-01,1.3211,1.2815,116.95,0.9116,6.8119,1.2029,20.9550
2020-06-02,1.3001,1.1815,105.94,0.9106,6.9109,1.3209,21.9660
2020-06-03,1.3121,1.1804,105.90,0.9006,6.9019,1.3227,21.9630
2020-06-04,1.3101,1.1805,105.95,0.9116,6.9119,1.3229,21.9650
2020-06-05,1.3201,1.2805,106.95,0.9016,6.8119,1.2229,21.9550
2020-06-08,1.3211,1.2815,116.95,0.9116,6.8119,1.2029,20.9550
2020-06-09,1.3001,1.1815,105.94,0.9106,6.9109,1.3209,21.9660
2020-06-10,1.3101,1.1805,105.95,0.9116,6.9119,1.3229,21.9650
2020-06-11,1.3201,1.2805,106.95,0.9016,6.8119,1.2229,21.9550
2020-06-12,1.3211,1.2815,116.95,0.9116,6.8119,1.2029,20.9550
2020-06-15,1.3101,1.1805,105.95,0.9116,6.9119,1.3229,21.9650
2020-06-16,1.3001,1.1815,105.94,0.9106,6.9109,1.3209,21.9660
2020-06-17,1.3121,1.1804,105.90,0.9006,6.9019,1.3227,21.9630
2020-06-18,1.3001,1.1815,105.94,0.9106,6.9109,1.3209,21.9660
2020-06-19,1.3121,1.1804,105.90,0.9006,6.9019,1.3227,21.9630
2020-06-22,1.3101,1.1805,105.95,0.9116,6.9119,1.3229,21.9650
2020-06-23,1.3201,1.2805,106.95,0.9016,6.8119,1.2229,21.9550
2020-06-24,1.3211,1.2815,116.95,0.9116,6.8119,1.2029,20.9550
2020-06-25,1.3001,1.1815,105.94,0.9106,6.9109,1.3209,21.9660
2020-06-26,1.3121,1.1804,105.90,0.9006,6.9019,1.3227,21.9630
2020-06-29,1.3101,1.1805,105.95,0.9116,6.9119,1.3229,21.9650
2020-06-30,1.3201,1.2805,106.95,0.9016,6.8119,1.2229,21.9550
2020-07-01,1.3211,1.2815,116.95,0.9116,6.8119,1.2029,20.9550
2020-07-02,1.3001,1.1815,105.94,0.9106,6.9109,1.3209,21.9660
2020-07-06,1.3101,1.1805,105.95,0.9116,6.9119,1.3229,21.9650
2020-07-07,1.3201,1.2805,106.95,0.9016,6.8119,1.2229,21.9550
2020-07-08,1.3211,1.2815,116.95,0.9116,6.8119,1.2029,20.9550
2020-07-09,1.3001,1.1815,105.94,0.9106,6.9109,1.3209,21.9660
2020-07-10,1.3121,1.1804,105.90,0.9006,6.9019,1.3227,21.9630
2020-07-13,1.3101,1.1805,105.95,0.9116,6.9119,1.3229,21.9650
2020-07-14,1.3201,1.2805,106.95,0.9016,6.8119,1.2229,21.9550
2020-07-15,1.3211,1.2815,116.95,0.9116,6.8119,1.2029,20.9550
2020-07-16,1.3001,1.1815,105.94,0.9106,6.9109,1.3209,21.9660
2020-07-17,1.3121,1.1804,105.90,0.9006,6.9019,1.3227,21.9630
2020-07-20,1.3001,1.1815,105.94,0.9106,6.9109,1.3209,21.9660
2020-07-21,1.3121,1.1804,105.90,0.9006,6.9019,1.3227,21.9630
2020-07-22,1.3101,1.1805,105.95,0.9116,6.9119,1.3229,21.9650
